molecule_chembl_id,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
CHEMBL3665180,0.001155,nM,CC(C)CS(=O)(=O)N1CCC[C@H](Nc2nc(N)ncc2-c2cnc3[nH]ccc3n2)C1,11.937418015771836,430.18994307200006,8,3,1.8591999999999997,True
CHEMBL3665182,0.00188,nM,CC(C)CS(=O)(=O)N1CCC[C@H](Nc2nc(S(C)(=O)=O)ncc2-c2cnc3[nH]ccc3n2)C1,11.72584215073632,493.1565943440001,9,2,1.6804999999999997,True
CHEMBL3665179,0.00196,nM,CC(C)CS(=O)(=O)N1CCC[C@H](Nc2ncncc2-c2cnc3[nH]ccc3n2)C1,11.707743928643524,415.17904404000006,7,2,2.277,True
CHEMBL3665202,0.002185,nM,CN1CCN(c2ncc(-c3cnc4[nH]ccc4n3)c(N[C@H]3CCCN(S(=O)(=O)CCC(C)(C)C)C3)n2)CC1,11.66054855869356,541.294742488,9,2,2.809,True
CHEMBL3665188,0.00242,nM,CSc1ncc(-c2cnc3[nH]ccc3n2)c(N[C@H]2CCCN(S(=O)(=O)CCC(C)(C)C)C2)n1,11.616184634019568,489.198065232,8,2,3.7791000000000023,True
CHEMBL3665216,0.00415,nM,C[C@H]1C[C@H](Nc2nc(N3CCN(C)CC3)ncc2-c2cnc3[nH]ccc3n2)CN(S(=O)(=O)CC#N)C1,11.381951903287908,510.22739120000006,10,2,1.1423800000000004,True
CHEMBL3665175,0.004205,nM,CC(C)CS(=O)(=O)N1CC[C@@H](O)[C@H](Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,11.37623399986607,430.1787096920001,7,3,1.8527999999999996,True
CHEMBL3665181,0.004965,nM,CC(C)CS(=O)(=O)N1CCC[C@H](Nc2nc(N(C)C)ncc2-c2cnc3[nH]ccc3n2)C1,11.3040807471686,458.22124320000006,8,2,2.342999999999999,True
CHEMBL3665215,0.005185,nM,CC(C)CS(=O)(=O)N1C[C@@H](C)C[C@H](Nc2nc(N3CCN(C)CC3)ncc2-c2cnc3[nH]ccc3n2)C1,11.28525123927494,527.279092424,9,2,2.274800000000001,True
CHEMBL3665222,0.005205,nM,C[C@H]1C[C@H](Nc2ncccc2-c2cnc3[nH]ccc3n2)CN(S(=O)(=O)CC#N)C1,11.283579266153446,411.14774391199995,7,2,1.9955799999999997,True
CHEMBL3665199,0.0053,nM,CS(=O)(=O)N1CCC[C@H](Nc2nc(N3CCC(CC(N)=O)CC3)ncc2-c2cnc3[nH]ccc3n2)C1,11.275724130399212,513.227056852,9,3,1.3426000000000018,True
CHEMBL3665214,0.006755,nM,CC(C)CS(=O)(=O)N1CCC[C@H](Nc2nc(N3CCN(C)CC3)ncc2-c2cnc3[nH]ccc3n2)C1,11.17037464664195,513.2634423600001,9,2,2.028800000000001,True
CHEMBL3665152,0.00747,nM,O=S(=O)(CC1CC1)N1CCC[C@H](Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,11.126679398184601,412.16814500800007,6,2,2.636,True
CHEMBL3665176,0.007615,nM,CS(=O)(=O)N1CC[C@@H](O)[C@H](Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,11.118330092327938,388.1317595000001,7,3,0.8265999999999994,True
CHEMBL3665174,0.00773,nM,CS(=O)(=O)N1CCC[C@H](Nc2ncccc2-c2cnc3[nH]cc(Cl)c3n2)C1,11.111820506081674,406.0978725280001,6,2,2.5092,True
CHEMBL3665142,0.00776,nM,CCCS(=O)(=O)N1C[C@@H](C)C[C@H](Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,11.110138278741811,414.18379507200007,6,2,2.8820000000000006,True
CHEMBL3665192,0.008045,nM,CS(=O)(=O)N1CCC[C@H](Nc2nc(NCCO)ncc2-c2cnc3[nH]ccc3n2)C1,11.094473951564952,432.1692076280001,9,4,0.6550000000000001,True
CHEMBL3665119,0.00837,nM,CS(=O)(=O)N1CCC[C@@H](Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,11.07727454200674,372.13684488000007,6,2,1.8557999999999997,True
CHEMBL3665183,0.00897,nM,CSc1ncc(-c2cnc3[nH]ccc3n2)c(N[C@H]2CCCN(S(=O)(=O)CC(C)C)C2)n1,11.047207556955907,461.166765104,8,2,2.998900000000001,True
CHEMBL3665122,0.01047,nM,CS(=O)(=O)N1CC[C@@H](Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,10.980053318321158,358.121194816,6,2,1.4656999999999996,True
CHEMBL3665184,0.01051,nM,CC(C)CS(=O)(=O)N1CCC[C@H](Nc2nc(N3CCOCC3)ncc2-c2cnc3[nH]ccc3n2)C1,10.978397283971757,500.23180788400003,9,2,2.1136,True
CHEMBL3665193,0.01071,nM,COCCNc1ncc(-c2cnc3[nH]ccc3n2)c(N[C@H]2CCCN(S(C)(=O)=O)C2)n1,10.970210529168144,446.18485769200004,9,3,1.3090999999999995,True
CHEMBL3665200,0.01096,nM,CC[C@@H](CO)Nc1ncc(-c2cnc3[nH]ccc3n2)c(N[C@H]2CCCN(S(C)(=O)=O)C2)n1,10.96018944585165,460.20050775600004,9,4,1.4335999999999998,True
CHEMBL3665172,0.01175,nM,Cc1c[nH]c2ncc(-c3cccnc3N[C@H]3CCCN(S(C)(=O)=O)C3)nc12,10.929962133392245,386.15249494399995,6,2,2.1642199999999994,True
CHEMBL3665206,0.01251,nM,CS(=O)(=O)N1CCC[C@H](Nc2nc(N3CC(C#N)C3)ncc2-c2cnc3[nH]ccc3n2)C1,10.90274269030658,453.1695419760001,9,2,1.2105799999999995,True
CHEMBL3665123,0.01281,nM,CC(=O)N1CCC[C@@H](Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,10.892450870255313,336.16985926,5,2,2.4427000000000003,True
CHEMBL3651021,0.013,nM,C=C(F)C(=O)Nc1cc(-c2ncnc3[nH]cc(C(=O)OCC)c23)ccc1F,10.886056647693163,372.10339674799997,5,2,3.362400000000002,True
CHEMBL3650991,0.013,nM,C=C(C)C(=O)Nc1cc(-c2ncnc3[nH]cc(C(=O)OCC)c23)ccc1Cl,10.886056647693163,384.098918084,5,2,3.9696000000000025,True
CHEMBL3665207,0.01359,nM,CS(=O)(=O)N1CCC[C@H](Nc2nc(NC3CCC(C#N)CC3)ncc2-c2cnc3[nH]ccc3n2)C1,10.866780543267506,495.2164921680001,9,3,2.7450799999999997,True
CHEMBL3651050,0.016,nM,C=CC(=O)Nc1cccc(-c2ncnc3[nH]cc(-c4ccccc4)c23)c1,10.795880017344075,340.132411132,3,2,4.416400000000002,True
CHEMBL3665150,0.01676,nM,Cc1ccc(-c2cnc3[nH]ccc3n2)c(NC2CCCN(S(=O)(=O)CC(C)(C)C)C2)n1,10.775725985705742,442.21509519999995,6,2,3.5805200000000017,True
CHEMBL3665171,0.01735,nM,CS(=O)(=O)N1CCC[C@H](Nc2ncccc2-c2cnc3[nH]cc(C#N)c3n2)C1,10.760700520873108,397.1320938480001,7,2,1.7274799999999997,True
CHEMBL3665128,0.01794,nM,CS(=O)(=O)N1CC[C@H](Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,10.746177561291926,358.121194816,6,2,1.4656999999999996,True
CHEMBL3665146,0.01937,nM,Cc1ccc(-c2cnc3[nH]ccc3n2)c(NC2CCCN(S(C)(=O)=O)C2)n1,10.71287037928089,386.15249494399995,6,2,2.1642199999999994,True
CHEMBL3651041,0.02,nM,C=C(CO)C(=O)Nc1cccc(-c2ncnc3[nH]cc(C(=O)OCC)c23)c1,10.698970004336019,366.13280505599994,6,3,2.2886000000000006,True
CHEMBL3651060,0.02,nM,CCOC(=O)c1c[nH]c2ncnc(-c3cccc(NC(=O)/C=C/CN(C)C)c3)c12,10.698970004336019,393.180089596,6,2,2.8579000000000008,True
CHEMBL3665173,0.0215,nM,CS(=O)(=O)N1CCC[C@H](Nc2ncccc2-c2cnc3[nH]cc(C4CC4)c3n2)C1,10.667561540084394,412.16814500800007,6,2,2.733200000000001,True
CHEMBL3665213,0.02164,nM,CN(C)[C@@H]1CCN(c2ncc(-c3cnc4[nH]ccc4n3)c(N[C@H]3CCCN(S(C)(=O)=O)C3)n2)C1,10.66474274356547,485.232142232,9,2,1.3911000000000004,True
CHEMBL3665167,0.02299,nM,CC(C)CS(=O)(=O)N1CCC[C@H](Nc2nccnc2-c2cnc3[nH]ccc3n2)C1,10.63846102873072,415.17904404000006,7,2,2.277,True
CHEMBL3665209,0.02336,nM,CS(=O)(=O)N1CCC[C@H](Nc2nc(N3CCC(CC(=O)O)CC3)ncc2-c2cnc3[nH]ccc3n2)C1,10.631527161559639,514.2110724400001,9,3,1.9419000000000002,True
CHEMBL3651040,0.024,nM,C=C(CF)C(=O)Nc1cccc(-c2ncnc3[nH]cc(C(=O)OCC)c23)c1,10.619788758288394,368.128468624,5,2,3.2658000000000014,True
CHEMBL3651015,0.024,nM,C=C(F)C(=O)Nc1cccc(-c2ncnc3[nH]cc(C(=O)OCC)c23)c1,10.619788758288394,354.11281856,5,2,3.223300000000001,True
CHEMBL3651030,0.025,nM,C=C(COC)C(=O)Nc1cccc(-c2ncnc3[nH]cc(C(=O)OCC)c23)c1,10.602059991327963,380.14845511999994,6,2,2.942700000000001,True
CHEMBL3665201,0.02507,nM,CN1CCC(Nc2ncc(-c3cnc4[nH]ccc4n3)c(N[C@H]3CCCN(S(C)(=O)=O)C3)n2)CC1,10.600845666041783,485.232142232,9,3,1.7569000000000004,True
CHEMBL3665203,0.02582,nM,CN(C)C1CCN(c2ncc(-c3cnc4[nH]ccc4n3)c(N[C@H]3CCCN(S(C)(=O)=O)C3)n2)CC1,10.5880437620696,499.247792296,9,2,1.7812000000000001,True
CHEMBL3665217,0.02678,nM,C[C@H]1C[C@H](Nc2nc(N3CCN(C)CC3)ncc2-c2cnc3[nH]ccc3n2)CN(S(C)(=O)=O)C1,10.572189427324009,485.23214223200006,9,2,1.2486000000000008,True
CHEMBL3665189,0.02712,nM,COc1ncc(-c2cnc3[nH]ccc3n2)c(N[C@H]2CCCN(S(C)(=O)=O)C2)n1,10.566710314804974,403.142658532,8,2,1.2593999999999996,True
CHEMBL3665144,0.02957,nM,CC(C)S(=O)(=O)N1C[C@@H](C)C[C@H](Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,10.529148675473882,414.18379507200007,6,2,2.8804000000000007,True
CHEMBL3665197,0.03009,nM,COC1CCN(c2ncc(-c3cnc4[nH]ccc4n3)c(N[C@H]3CCCN(S(C)(=O)=O)C3)n2)CC1,10.52157781225992,486.21615782000003,9,2,1.8659999999999997,True
CHEMBL3665191,0.03263,nM,CCOc1ncc(-c2cnc3[nH]ccc3n2)c(N[C@H]2CCCN(S(C)(=O)=O)C2)n1,10.486382926212125,417.158308596,8,2,1.6495,True
CHEMBL3665211,0.03268,nM,CN(C)CCNc1ncc(-c2cnc3[nH]ccc3n2)c(N[C@H]2CCCN(S(C)(=O)=O)C2)n1,10.485717952139622,459.216492168,9,3,1.2243000000000002,True
CHEMBL3650993,0.033,nM,C=CC(=O)Nc1cc(-c2ncnc3[nH]cc(C(=O)OCC)c23)ccc1C,10.481486060122112,350.13789043599996,5,2,3.2345200000000016,True
CHEMBL3665153,0.03508,nM,Cc1ccc(-c2cnc3[nH]cc(Cl)c3n2)c(NC2CCCN(S(=O)(=O)CC3CC3)C2)n1,10.454940415305996,460.14482272000004,6,2,3.5978200000000014,True
CHEMBL3652408,0.0368,nM,COCCOC1CCCN(S(=O)(=O)C[C@H]2CC[C@H](N(C)c3ncnc4[nH]ccc34)CC2)C1,10.434152181326482,465.2409756000001,7,1,2.410100000000001,True
CHEMBL3651032,0.037,nM,C=CS(=O)(=O)Nc1cccc(-c2ncnc3[nH]cc(C(=O)OCC)c23)c1,10.431798275933005,372.0892259919999,6,2,2.6868000000000007,True
CHEMBL3665141,0.03714,nM,C[C@H]1C[C@H](Nc2ncccc2-c2cnc3[nH]ccc3n2)CN(S(C)(=O)=O)C1,10.430158100596238,386.1524949439999,6,2,2.1018,True
CHEMBL3665151,0.03938,nM,CS(=O)(=O)N1CCCC(Nc2ncccc2-c2cnc3[nH]ccc3n2)CC1,10.404724288197901,386.15249494400007,6,2,2.2459,True
CHEMBL3665195,0.03959,nM,CC(C)(O)CNc1ncc(-c2cnc3[nH]ccc3n2)c(N[C@H]2CCCN(S(C)(=O)=O)C2)n1,10.402414498247795,460.20050775600004,9,4,1.4335999999999998,True
CHEMBL3665149,0.03977,nM,Cc1ccc(-c2cnc3[nH]ccc3n2)c(NC2CCCN(S(=O)(=O)CC3CC3)C2)n1,10.40044440901402,426.18379507199995,6,2,2.944420000000001,True
CHEMBL3650988,0.04,nM,C=CC(=O)Nc1cccc(-c2ncnc3[nH]cc(C(=O)OCC)c23)c1,10.397940008672037,336.12224037199996,5,2,2.926100000000001,True
CHEMBL3652402,0.0421,nM,C[C@@H]1C[C@@H](CS(=O)(=O)N2CC[C@H](CO)C2)CC[C@@H]1N(C)c1ncnc2[nH]ccc12,10.375717904164333,421.2147608520001,6,2,1.8428999999999995,True
CHEMBL3665205,0.04262,nM,CS(=O)(=O)N1CCC[C@H](Nc2nc(N3CC[C@H](O)C3)ncc2-c2cnc3[nH]ccc3n2)C1,10.370386554621817,458.1848576920001,9,3,0.8217999999999998,True
CHEMBL3651017,0.043,nM,C=C(Br)C(=O)Nc1cccc(-c2ncnc3[nH]cc(C(=O)OCC)c23)c1,10.366531544420413,414.03275244,5,2,3.6487000000000016,True
CHEMBL3665185,0.04737,nM,CSc1ncc(-c2cnc3[nH]ccc3n2)c(N[C@H]2CCCN(S(C)(=O)=O)C2)n1,10.324496615272043,419.119814912,8,2,1.9726999999999995,True
CHEMBL3665177,0.04782,nM,CN(C)S(=O)(=O)N1CCC[C@H](Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,10.320390428220245,401.16339397600007,6,2,1.7025999999999997,True
