,Unnamed: 0,molecule_chembl_id,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
0,0,CHEMBL941,0.06,nM,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,10.221848749616356,493.2590086120001,7,2,4.590320000000004,True
1,1,CHEMBL5221067,0.14,nM,N#Cc1c(NC(=O)CNc2n[nH]c3ncccc23)sc2c1CCCC2,9.853871964321762,352.110630132,6,3,2.8204800000000008,True
3,3,CHEMBL437890,0.5,nM,CN1CCN(CCC#CC(=O)Nc2cc3c(Nc4ccc(F)c(Br)c4)ncnc3cn2)CC1,9.30102999566398,511.11314867600015,7,2,3.2494000000000014,True
4,4,CHEMBL203599,0.7,nM,CN1CCN(CCC#CC(=O)Nc2cc3c(Nc4ccc(F)c(Cl)c4)ncnc3cn2)CC1,9.154901959985745,467.1636642560001,7,2,3.1403000000000016,True
5,5,CHEMBL204638,0.7,nM,O=C(C#CCCN1CCOCC1)Nc1cc2c(Nc3ccc(F)c(Br)c3)ncnc2cn1,9.154901959985745,498.0815142000001,7,2,3.334200000000001,True
6,6,CHEMBL203661,0.8,nM,O=C(C#CCCN1CCOCC1)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1,9.096910013008056,454.13202978000004,7,2,3.225100000000001,True
9,9,CHEMBL4075917,1.0,nM,Cc1n[nH]c2ccc(-c3cc(N[C@@H](CO)c4ccccc4)cnc3-c3ccc(F)cc3O)cc12,9.0,454.180504196,5,4,5.590520000000004,True
10,10,CHEMBL4105329,1.0,nM,Cc1n[nH]c2ccc(-c3cc(N[C@@H](CO)c4ccccc4)cnc3-c3cc(Cl)ccc3O)cc12,9.0,470.150953656,5,4,6.104820000000005,True
11,11,CHEMBL258282,1.0,nM,CN1CCN(CCOc2n[nH]c3ncnc(Nc4ccc(OCc5ccccn5)c(Cl)c4)c23)CC1,9.0,494.194549784,9,2,3.350100000000001,True
14,14,CHEMBL483332,1.0,nM,C[C@H](CN(C)C)Oc1cccc2ncnc(Nc3ccc(OCc4cnccn4)c(Cl)c3)c12,9.0,464.17275172000006,8,1,4.724700000000004,True
15,15,CHEMBL4067871,1.0,nM,OC[C@H](Nc1cnc(-c2cc(Cl)ccc2O)c(-c2ccc3cnccc3c2)c1)c1ccccc1,9.0,467.140054624,5,3,6.468300000000006,True
16,16,CHEMBL5176920,1.06,nM,Cc1cc(Nc2ncnc3cc(O)c(NC(=O)/C=C/[C@H]4CCCN4C)cc23)ccc1Oc1cc2nccn2cn1,8.97469413473523,536.2284367560001,10,3,4.811320000000003,True
17,17,CHEMBL54091,1.1,nM,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Br)c3)ncnc2cn1,8.958607314841775,387.0131002920001,5,2,3.794500000000002,True
18,18,CHEMBL203644,1.1,nM,CC#CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1,8.958607314841775,355.0636158720001,5,2,3.5227000000000013,True
